Index,Time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,heading,roll,pitch,linacc_x,linacc_y,linacc_z,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z
78,5.540,-0.935,1.115,9.615,-69.875,-55.500,-42.812,0.000,0.094,-0.125,145.875,-4.875,-6.438,-0.015,-0.010,-0.205,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
79,5.611,-0.930,1.115,9.635,-69.281,-55.094,-43.281,-0.031,0.188,-0.093,145.875,-4.875,-6.438,-0.015,-0.005,-0.185,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
80,5.681,-0.920,1.090,9.630,-69.062,-54.688,-42.875,-0.093,-0.125,0.032,145.875,-4.875,-6.438,-0.010,-0.005,-0.170,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
81,5.752,-0.930,1.105,9.620,-69.656,-54.688,-42.406,-0.093,-0.188,0.062,145.875,-4.875,-6.438,-0.075,0.000,-0.080,-0.840,-162.740,9.700,0.293,0.058,-0.041,-0.954
81,5.752,-0.930,1.105,9.620,-69.656,-54.688,-42.406,-0.093,-0.188,0.062,145.875,-4.875,-6.438,-0.075,0.000,-0.080,-0.840,-162.740,9.700,0.293,0.058,-0.041,-0.954
82,5.823,-0.930,1.105,9.620,-70.219,-55.438,-42.781,-0.031,0.062,0.031,145.875,-4.875,-6.438,-0.075,-0.005,-0.075,-0.840,-162.740,9.700,0.293,0.058,-0.041,-0.954
83,5.895,-0.930,1.085,9.615,-69.625,-55.219,-43.438,0.031,-0.157,0.031,145.875,-4.875,-6.438,-0.080,-0.015,-0.065,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
84,5.967,-0.920,1.105,9.625,-69.469,-54.469,-43.062,0.000,-0.062,0.062,145.875,-4.875,-6.438,-0.085,0.000,-0.060,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
85,6.038,-0.905,1.120,9.620,-69.469,-54.875,-42.656,-0.031,-0.094,0.093,145.875,-4.875,-6.438,-0.080,0.005,-0.080,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
86,6.109,-0.840,1.105,9.510,-69.281,-55.281,-43.281,-0.031,0.062,0.000,145.875,-4.875,-6.438,-0.075,0.000,-0.090,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
87,6.177,-0.855,1.095,9.535,-69.875,-55.094,-43.500,0.000,0.093,0.000,145.875,-4.875,-6.438,-0.070,0.010,-0.075,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
87,6.177,-0.855,1.095,9.535,-69.875,-55.094,-43.500,0.000,0.093,0.000,145.875,-4.875,-6.438,-0.070,0.010,-0.075,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
